Company,Ticker,Watchlist Status,Watchlist Status_Encoded,Suspension Status,Suspension Status_Encoded,Sector,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,Price/CF,1-yr %Rev. Chg.,Debt ($M),Debt/Equity,Mkt Cap ($M) Category,Tot. Rev ($M) Category,Price/CF Category,Debt ($M) Category,Debt/Equity Category,Price/CF_Risk_Score,Debt ($M)_Risk_Score,Debt/Equity_Risk_Score,Mkt Cap ($M)_Risk_Score,Tot. Rev ($M)_Risk_Score,CountLowRisk,CountMediumRisk,CountHighRisk,Insolvency Risk (0-2)
V2Y Corp,V2Y,No,0,No,0,Insurance,0.013,-284.7,4.601,0.215,74,0,-7.14,-13.33,-27.78,-428.37,0,-29.28,11.94740274,54.97,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
Vallianz,WPC,No,0,No,0,Transportation,0.022,-49.09,26.656,287.17,70,0,-18.52,-31.25,-35.29,-4.68,0,122.05,454.8285564,12123.91,Medium,High,Low,,,0,,,1,0,2,1,0,1
ValueMax,T6I,No,0,No,0,Retailers,0.385,13.42,309.448,331.037,82,8.45,20.31,26.23,16.67,16.17,5.09,15.32,0.549656162,170.09,High,High,Medium,Medium,High,1,1,2,0,0,2,2,1,1
Valuetronics,BN2,No,0,No,0,Technology Equipment,0.575,10.89,254.844,319.508,89,-1.68,-2.5,10.71,16.06,7.95,7.57,-10.22,0,0,High,High,High,Low,Low,2,0,0,0,0,4,0,1,0
VCPlus,43E,No,0,No,0,Mineral Resources,0.002,-53.9,10.001,0.398,77,0,-33.33,-50,-66.67,-548.99,0,-51.93,0.587941206,5.88,Low,Low,Low,Medium,Low,0,1,0,2,2,2,1,2,1
Venture,V03,No,0,No,0,Technology Equipment,14.19,9.52,4139.491,3025.028,90,-1.53,5.82,9.84,-18.74,8.95,13.7,-21.71,0.000207755,0.86,High,High,High,Low,Low,2,0,0,0,0,4,0,1,0
Versalink,40N,No,0,No,0,Industrial & Commercial Services,0.05,32.35,6.75,11.493,74,0,-3.85,2.04,31.58,29.82,1.63,-16.28,0.905185185,6.11,Low,Low,Medium,High,Low,1,2,0,2,2,1,1,3,2
Vibrant Group,BIP,No,0,No,0,Transportation,0.047,-2.96,32.804,144.866,76,9.3,-9.62,-17.54,-41.25,-4.4,2.39,-28.88,2.544506767,83.47,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,1
VibroPower,BJD,No,0,No,0,Utilities,0.01,-51.76,0.748,9.353,76,0,-67.74,-67.74,-73.68,-63.88,0,0.09,48.36898396,36.18,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
VICOM Ltd,WJP,No,0,No,0,Industrial & Commercial Services,1.4,21.64,496.395,111.903,104,-2.1,1.45,-5.41,-25.13,25.03,13.82,3.32,0.050544425,25.09,High,Medium,High,Low,Medium,2,0,1,0,1,2,2,1,1
Vicplas Intl,569,No,0,No,0,Healthcare Services,0.127,2.53,64.965,113.86,62,-3.79,-17.53,-8.63,-28.25,1.72,7.33,-15.01,0.535057339,34.76,Medium,Medium,High,Medium,Medium,2,1,1,1,1,0,4,1,1
Vividthree,OMK,No,0,No,0,Cyclical Consumer Services,0.023,-20.59,8.916,3.929,80,-17.24,-25,-22.58,-33.33,-72.81,0,12.26,3.592418125,32.03,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
Wee Hur,E3B,No,0,No,0,Industrial & Commercial Services,0.176,24.46,173.144,224.842,55,-5.13,-5.13,1.65,-11.9,71.27,1.07,11.67,0.122383681,21.19,High,High,Medium,Medium,Medium,1,1,1,0,0,2,3,0,1
Willas-Array,BDR,No,0,No,0,Technology Equipment,0.505,-16.74,269.876,2712.045,82,-1.6,70.17,33.91,3.36,-3.89,0,-20.77,0.469511924,126.71,High,High,Low,Medium,High,0,1,2,0,0,3,1,1,1
Wilmar Intl,F34,No,0,No,0,Food & Beverages,3.39,7.59,21707.529,90545.438,97,0.59,-2.59,-8.38,-18.9,2.47,5.59,-8.51,0.007013696,152.25,High,High,Medium,Low,High,1,0,2,0,0,3,1,1,1
Wilton Resources,5F7,No,0,No,0,Mineral Resources,0.019,-16.11,49.856,0.341,71,5.56,-9.52,90,-17.39,-1273.66,0,-26.06,4.021983312,200.52,Medium,Low,Low,High,High,0,2,2,1,2,1,1,3,2
Wing Tai,W05,No,0,No,0,Real Estate,1.4,-1.1,1103.559,313.185,94,6.11,6.92,-0.69,-5.36,-10.11,0,-33.19,0.018530953,20.45,High,High,Low,Low,Medium,0,0,1,0,0,4,1,0,0
WinkingStudios,WKS,No,0,No,0,Industrial & Commercial Services,0.25,0,69.925,39.48,0,19.05,25,0,0,6.08,51.71,6.23,0,0,Medium,Low,High,Low,Low,2,0,0,1,2,2,1,2,1
Wong Fong Ind,1A1,No,0,No,0,Industrial Goods,0.135,6.77,31.725,77.958,78,19.47,-3.57,3.05,12.5,5.37,3.68,3.53,1.013711584,32.16,Medium,Medium,Medium,High,Medium,1,2,1,1,1,0,4,1,1
World Precision,B49,No,0,No,0,Industrial Goods,0.26,0.54,104,201.105,73,0,18.18,-10.34,-17.24,0.56,7.22,-3.19,0.013846154,1.44,Medium,High,High,Low,Low,2,0,0,1,0,3,1,1,1
XMH,BQF,Yes,1,No,0,Industrial Goods,0.42,18.7,48.289,141.757,71,20,37.7,78.72,40.5,6.59,3.77,46.78,2.505332477,120.98,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,2
Y Ventures,1F1,No,0,No,0,Software & IT Services,0.014,-23.83,3.456,30.508,74,-6.67,-30,-41.67,-26.32,-1.8,0,5.09,6.325231481,21.86,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
Yamada Green Res,BJV,No,0,No,0,Food & Beverages,0.143,2.37,25.459,3.973,38,3.6,2.86,20,9.09,32.01,14.38,-56.51,0.05656153,1.44,Low,Low,High,Low,Low,2,0,0,2,2,2,0,3,2
Yanlord Land,Z25,No,0,No,0,Real Estate,0.48,-2.69,935.393,8093.459,87,-4,-6.8,-28.36,-44.83,-1.66,0,51.14,0.131484841,122.99,High,High,Low,Medium,High,0,1,2,0,0,3,1,1,1
Yeo Hiap Seng,Y03,No,0,No,0,Food & Beverages,0.565,1.19,349.52,332.742,89,-1.74,-3.42,-10.32,-16.91,2.02,14.81,-7.08,0.008754864,3.06,High,High,High,Low,Low,2,0,0,0,0,4,0,1,0
YHI Intl,BPF,No,0,No,0,Automobiles & Auto Parts,0.48,4.69,140.302,376.94,70,2.13,1.05,3.23,-3.03,3.56,5.33,-12.52,0.178472153,25.04,Medium,High,Medium,Medium,Medium,1,1,1,1,0,1,4,0,1
Ying Li Intl,5DM,No,0,No,0,Real Estate,0.018,0.84,46.027,38.89,88,0,12.5,-5.26,-43.75,8.82,10.89,25.52,2.629543529,121.03,Medium,Low,High,High,High,2,2,2,1,2,0,1,4,2
YKGI,YK9,No,0,No,0,Cyclical Consumer Services,0.109,11.83,42.5,61.949,0,-4.76,-6.54,-14.53,-27.54,2.26,3.89,10.22,8.479764706,360.39,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,1
Yoma Strategic,Z59,No,0,No,0,Real Estate,0.042,-8.06,92.017,261.992,97,-8.89,-43.84,-50,-61.32,-27.4,0,150.73,0.780073247,71.78,Medium,High,Low,High,High,0,2,2,1,0,2,1,2,1
Yongmao,BKX,No,0,No,0,Industrial Goods,0.665,5.84,59.019,164.486,70,0,-16.35,-16.87,0,7.35,2.11,-11.2,0.66571782,39.29,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,0,5,0,1
Yongnam,AXB,No,0,Yes,1,Industrial & Commercial Services,0.026,-66.66,18.303,137.197,49,0,0,0,0,-28.45,0,1.37,8.665246135,158.6,Low,Medium,Low,High,High,0,2,2,2,1,1,1,3,2
Yunnan Energy,T43,No,0,No,0,Cyclical Consumer Products,0.055,-2.95,316.753,341.863,43,4.55,43.75,109.09,15,-1.45,0,18.67,0.054174704,17.16,High,High,Low,Low,Medium,0,0,1,0,0,4,1,0,0
YuuZoo Networks,AFC,No,0,Yes,1,Software & IT Services,0.038,0,29.41,15.733,-12,0,0,0,0,-18.51,20.89,-4.17,0,0,Medium,Low,High,Low,Low,2,0,0,1,2,2,1,2,2
YZJ Fin Hldg,YF8,No,0,No,0,Banking & Investment Services,0.32,5.23,1175.673,340.748,76,-4.48,0,-13.51,-13.51,59.48,5.72,11.28,0.000323219,0.38,High,High,Medium,Low,Low,1,0,0,0,0,4,1,0,0
YZJ Shipbldg SGD,BS6,No,0,No,0,Industrial Goods,1.9,21.3,7471.265,4497.068,55,11.24,29.66,9.94,51.61,16.88,8.78,16.46,0.003478661,25.99,High,High,High,Low,Medium,2,0,1,0,0,3,1,1,1
Zheneng Jinjiang,BWM,No,0,No,0,Renewable Energy,0.29,4.09,421.667,709.774,69,20.83,0,26.09,-3.33,8.04,2.24,5.62,0.397446326,167.59,High,High,Medium,Medium,High,1,1,2,0,0,2,2,1,1
Zhongmin Baihui,5SR,No,0,No,0,Retailers,0.54,19.36,106.013,180.573,58,-22.86,-21.74,-21.17,-5.26,3.21,5.44,-5.84,2.886627112,306.02,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,1
Zhongxin Fruit,5EG,No,0,No,0,Food & Beverages,0.019,5.37,20.054,22.422,71,-9.52,-5,-9.52,-38.71,5.98,12.79,5.48,3.795751471,76.12,Low,Low,High,High,High,2,2,2,2,2,0,0,5,2
ZICO Hldgs,40W,No,0,No,0,Banking & Investment Services,0.05,-23.71,18.994,16.69,78,2.04,-9.09,-24.24,-21.88,-41.94,0,-9.75,2.364957355,44.92,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
Zixin,42W,No,0,No,0,Food & Beverages,0.023,-3.47,31.828,41.41,76,0,0,-20.69,35.29,-7.94,102.13,-18.64,0.000942566,0.03,Medium,Medium,High,Low,Low,2,0,0,1,1,2,2,1,1
