Company,Ticker,Watchlist Status,Watchlist Status_Encoded,Suspension Status,Suspension Status_Encoded,Sector,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,Price/CF,1-yr %Rev. Chg.,Debt ($M),Debt/Equity,Mkt Cap ($M) Category,Tot. Rev ($M) Category,Price/CF Category,Debt ($M) Category,Debt/Equity Category,Price/CF_Risk_Score,Debt ($M)_Risk_Score,Debt/Equity_Risk_Score,Mkt Cap ($M)_Risk_Score,Tot. Rev ($M)_Risk_Score,CountLowRisk,CountMediumRisk,CountHighRisk,Insolvency Risk (0-2)
SingPost,S08,No,0,No,0,Transportation,0.4,2.44,932.787,1740.67,112,0,-9.89,-18.81,-18,3.13,6.86,-8.05,0.038551138,35.96,High,High,Medium,Low,Medium,1,0,1,0,0,3,2,0,1
SingShipping,S19,No,0,No,0,Industrial Goods,0.245,10.3,100.604,63.433,78,2.08,6.52,2.08,-3.92,25.15,3.74,2.75,0.339946722,34.2,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,0,5,0,1
Singtel,Z74,No,0,No,0,Telecommunications Services,2.53,11.67,41451.734,14393.8,120,7.26,2.87,4.15,6.47,22.23,7.29,-3.69,0.000981865,40.7,High,High,High,Low,Medium,2,0,1,0,0,3,1,1,1
Sinjia Land,5HH,No,0,No,0,Cyclical Consumer Services,0.012,-59.26,2.665,0.676,65,-20,-42.86,-60,-65.71,-221.6,0,11,1.512195122,4.03,Low,Low,Low,High,Low,0,2,0,2,2,2,0,3,2
Sino Grandness,T4B,No,0,Yes,1,Food & Beverages,0.02,6.2,22.73,547.295,42,0,0,0,0,7.11,0.34,-12.27,1.447866256,32.91,Low,High,Medium,High,Medium,1,2,1,2,0,1,2,2,2
SinoCloud Grp,LYY,No,0,No,0,Software & IT Services,0.011,-47.41,2.317,0.971,69,-21.43,-31.25,-50,-89,-383.07,0,-49.06,126.3789383,292.82,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
Sinostar Pec,C9Q,No,0,No,0,Energy - Fossil Fuels,0.131,16.06,83.84,994.648,67,-4.38,-7.75,-6.43,-19.14,5.87,0.92,10,0.838144084,70.27,Medium,High,Medium,High,High,1,2,2,1,0,1,2,2,1
Sitra,5LE,No,0,No,0,Applied Resources,0.012,-24.56,17.8,14.509,65,-7.69,0,0,0,-15.15,0,-33.67,0.05,0.89,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,1
SLB Dev,1J0,No,0,No,0,Real Estate,0.112,-3.7,102.256,9.812,74,5.66,3.7,-8.2,1.82,-69.33,0,-89.24,0.827335315,84.6,Medium,Low,Low,High,High,0,2,2,1,2,1,1,3,2
SMI Vantage,Y45,Yes,1,No,0,Transportation,0.032,-38.1,18.683,3.071,48,10.71,-18.42,-8.82,19.23,-169.18,0,0.03,5.39795536,100.85,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
Soilbuild Const,S7P,No,0,No,0,Industrial & Commercial Services,0.034,23.4,50.644,247.39,79,17.24,13.33,-5.56,-12.82,2.96,2.92,-0.41,11.26076139,570.29,Medium,High,Medium,High,High,1,2,2,1,0,1,2,2,1
Soon Lian,5MD,No,0,No,0,Mineral Resources,0.2,-11.23,21.6,58.132,79,0,0,0,25,-7.8,0,-18.66,1.069444444,23.1,Low,Medium,Low,High,Medium,0,2,1,2,1,1,2,2,1
Soup Holdings,5KI,No,0,No,0,Cyclical Consumer Services,0.077,14.18,22.985,41.097,73,-14.44,-3.75,1.32,-12.25,4,2.6,9.3,4.048292365,93.05,Low,Medium,Medium,High,High,1,2,2,2,1,0,2,3,2
Southern Arch,A33,No,0,No,0,Real Estate,0.002,1.59,55.142,5.196,57,0,0,0,0,0.83,74.52,7.42,5.164847122,284.8,Medium,Low,High,High,High,2,2,2,1,2,0,1,4,2
Southern Pkg,BQP,No,0,No,0,Applied Resources,0.58,-2.55,40.785,128.98,73,-3.33,-3.33,-3.33,45,-1.95,5.4,14.58,1.758489641,71.72,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,1
SouthernAlliance,QNS,No,0,No,0,Mineral Resources,0.49,-0.58,244.5,46.732,72,-16.67,-24.24,-27.54,-16.67,-1.22,52.05,23.98,0.015541922,3.8,High,Medium,High,Low,Low,2,0,0,0,1,3,1,1,1
Spackman,40E,No,0,No,0,Cyclical Consumer Services,0.002,-31.66,3.898,1.149,67,-33.33,-33.33,-33.33,-33.33,-915.26,0,0.02,1.780400205,6.94,Low,Low,Low,High,Low,0,2,0,2,2,2,0,3,2
Spindex Ind,564,No,0,No,0,Industrial Goods,0.795,7.2,91.715,177.485,68,-1.85,-10.17,-10.17,-18.46,6.26,3.93,-7.41,0.079049229,7.25,Medium,Medium,Medium,Medium,Low,1,1,0,1,1,1,4,0,1
Spura Finance,S23,No,0,No,0,Banking & Investment Services,0.7,2.44,111.08,48.15,93,2.19,-2.78,-2.78,-7.07,27.58,14.7,41.29,0.035649982,3.96,Medium,Medium,High,Low,Low,2,0,0,1,1,2,2,1,1
Sri Trang Agro,NC2,No,0,No,0,Automobiles & Auto Parts,0.755,-0.85,30873.6,84244.906,61,-0.99,32.24,19.64,-7.37,-0.54,9.98,-23.87,0.002556553,78.93,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
Sri Trang Gloves,STG,No,0,No,0,Healthcare Services,0.335,0.41,25643.359,19665.176,0,5.92,37.69,29.71,-15.57,0.78,14.04,-15.62,0.000941374,24.14,High,High,High,Low,Medium,2,0,1,0,0,3,1,1,1
ST Engineering,S63,No,0,No,0,Industrial Goods,4.03,24.15,12458.756,10101.021,101,0.5,5,3.37,13.03,5.98,10.87,11.8,0.021872168,272.5,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
ST Group Food,DRX,No,0,No,0,Cyclical Consumer Services,0.166,8.19,40.836,59.908,84,2.47,-1.19,-2.35,-2.35,2.42,4.49,13.74,2.991967871,122.18,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,1
Stamford Land,H07,No,0,No,0,Cyclical Consumer Services,0.39,21.67,582.577,154.698,79,-2.5,0,4,1.27,85.54,4.12,4.52,0.09276027,54.04,High,Medium,Medium,Medium,Medium,1,1,1,0,1,1,4,0,1
Stamford Tyres,S29,No,0,No,0,Automobiles & Auto Parts,0.174,3.31,41.305,192.501,87,-1.69,-8.42,-5.95,-12.56,1.89,3.88,-5.85,2.138239923,88.32,Medium,High,Medium,High,High,1,2,2,1,0,1,2,2,1
StarhillGbl Reit,P40U,No,0,No,0,Real Estate,0.485,1.14,1073.029,187.676,93.6,-1.04,-9.52,-2.06,-6.86,12.87,44.42,-1.32,0.054723591,58.72,High,High,High,Low,Medium,2,0,1,0,0,3,1,1,1
StarHub,CC3,No,0,No,0,Telecommunications Services,1.18,25.8,2043.349,2373.1,94,2.61,7.27,6.31,15.69,6.14,5.28,1.97,0.117077406,239.23,High,High,Medium,Medium,High,1,1,2,0,0,2,2,1,1
Straco,S85,No,0,No,0,Cyclical Consumer Services,0.495,10.02,430.12,82.136,79,-1.98,7.61,11.24,3.13,33.22,11.73,191.35,0.045568679,19.6,High,Medium,High,Low,Medium,2,0,1,0,1,2,2,1,1
Straits Trading,S20,No,0,No,0,Mineral Resources,1.49,-1.79,682.192,525.895,71,-6.21,-15.17,-23.74,-31.36,-2.31,0,11.22,0.117547553,80.19,High,High,Low,Medium,High,0,1,2,0,0,3,1,1,1
SunMoonFood,AAJ,No,0,No,0,Food & Beverages,0.02,-31.76,18.193,35.638,67,5.26,-13.04,0,5.26,-7.29,0,0.34,0.483702523,8.8,Low,Low,Low,Medium,Low,0,1,0,2,2,2,1,2,1
Sunpower,5GD,No,0,No,0,Industrial Goods,0.215,9.68,167.094,634.688,63,-2.33,-12.5,-28.81,-44,7.89,1.76,-1.32,1.467018564,245.13,High,High,Medium,High,High,1,2,2,0,0,2,1,2,1
Sunright,S71,No,0,No,0,Technology Equipment,0.215,-6.3,26.403,87.021,66,0,-8.51,-8.51,-12.24,-5.17,2.63,-6.17,0.880960497,23.26,Medium,Medium,Medium,High,Medium,1,2,1,1,1,0,4,1,1
Sunrise Shares,581,No,0,No,0,Real Estate,0.018,-48.08,3.559,0.356,58,-39.29,-50,-55.26,-48.48,-408.15,0,0,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,1
Suntar Eco-City,BKZ,No,0,No,0,Pharmaceuticals & Medical Research,0.075,0.65,4.707,6.606,58,-8.54,-8.54,-52.23,-18.48,1.87,26.45,124.29,0,0,Low,Low,High,Low,Low,2,0,0,2,2,2,0,3,2
Suntec Reit,T82U,No,0,No,0,Real Estate,1.07,2.65,3142.19,462.739,85.1,-6.9,-10.74,-10,-23.94,42.43,15.95,8.3,0.023846426,74.93,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
SUTL Enterprise,BHU,No,0,No,0,Cyclical Consumer Services,0.66,12.81,58.418,29.547,80,-1.49,-0.75,0,22.22,25.32,4.47,7.39,0.174603718,10.2,Medium,Low,Medium,Medium,Low,1,1,0,1,2,1,3,1,1
TA,PA3,No,0,Yes,1,Real Estate,0.073,-6.03,37.819,138.094,68,0,0,0,-25.51,28.48,0.88,-61.25,8.522964647,322.33,Medium,Medium,Medium,High,High,1,2,2,1,1,0,3,2,2
Tai Sin Electric,500,No,0,No,0,Industrial Goods,0.385,5.73,178.251,387.85,78,-2.53,-1.28,-3.75,-2.53,3.04,9.53,-10.6,0.217053481,38.69,High,High,High,Medium,Medium,2,1,1,0,0,2,2,1,1
Taka Jewellery,42L,No,0,No,0,Retailers,0.057,6.72,32.234,144.77,83,-8.06,-17.39,-24,-20.83,5.62,2.41,10.81,1.334925855,43.03,Medium,Medium,Medium,High,Medium,1,2,1,1,1,0,4,1,1
TalkMed,5G3,No,0,No,0,Healthcare Services,0.365,35.98,484.232,83.792,75,-1.35,0,-8.75,-9.88,35.03,15.07,9.39,0.010243024,4.96,High,Medium,High,Low,Low,2,0,0,0,1,3,1,1,1
Tat Seng Pkg,T12,No,0,No,0,Applied Resources,0.7,10.01,110.04,258.868,83,0,0,0.72,7.69,7.72,3.61,-23.02,0.308524173,33.95,Medium,High,Medium,Medium,Medium,1,1,1,1,0,1,4,0,1
TC Auto,VI2,No,0,No,0,Automobiles & Auto Parts,0.083,-37.04,48.938,644.472,71,3.75,-30.83,-35.66,-44.67,-2.65,0,-14.18,4.300543545,210.46,Medium,High,Low,High,High,0,2,2,1,0,2,1,2,1
TCIL HK$,T15,No,0,No,0,Transportation,1.32,3.89,2677.701,14313.884,0,-1.48,-4.32,-19.88,-21.76,3.67,2.15,17.42,0.010684539,28.61,High,High,Medium,Low,Medium,1,0,1,0,0,3,2,0,1
Teho Intl,5OQ,No,0,No,0,Industrial Goods,0.045,10.24,10.594,62.81,94,-6.25,-30.77,-19.64,-4.26,3.55,2.61,-5.87,13.01208231,137.85,Low,Medium,Medium,High,High,1,2,2,2,1,0,2,3,2
TeleChoice Intl,T41,Yes,1,No,0,Technology Equipment,0.066,-30.84,29.992,238.089,81,-7.04,-8.33,-15.38,-28.26,-4.83,0,2.36,0.537143238,16.11,Medium,High,Low,Medium,Medium,0,1,1,1,0,2,3,0,2
ThaiBev,Y92,No,0,No,0,Food & Beverages,0.49,13.48,12186.922,10351.866,81,-5.83,-3,-17.8,-23.62,11.01,8.98,2.47,0.008571483,104.46,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
Thakral,AWI,No,0,No,0,Real Estate,0.59,5.4,75.443,212.269,87,-0.84,-1.67,2.61,-3.26,8.68,3.59,32.32,0.261124293,19.7,Medium,High,Medium,Medium,Medium,1,1,1,1,0,1,4,0,1
The Place Hldg,E27,No,0,No,0,Cyclical Consumer Services,0.006,3.74,35.284,2.211,67,20,0,-25,-14.29,-65.9,0,187.14,0.015871216,0.56,Medium,Low,Low,Low,Low,0,0,0,1,2,3,1,1,1
TheHourGlass,AGS,No,0,No,0,Retailers,1.58,21.82,1120.969,1125.831,74,3.92,-1.24,-18.46,-28.05,14.79,5.37,0.84,0.026022129,29.17,High,High,Medium,Low,Medium,1,0,1,0,0,3,2,0,1
Thomson Medical,A50,No,0,No,0,Healthcare Services,0.052,3.16,1374.935,339.888,85,0,-10.34,-10.34,-21.21,6.39,31.66,-8.71,0.091167946,125.35,High,High,High,Medium,High,2,1,2,0,0,2,1,2,1
TIH,T55,No,0,No,0,Collective Investments,0.174,-3.53,42.053,2.457,56,2.35,-6.45,-9.84,-20.91,-178.96,0,-78.05,0.004993698,0.21,Medium,Low,Low,Low,Low,0,0,0,1,2,3,1,1,1
Tiong Seng,BFI,Yes,1,No,0,Industrial & Commercial Services,0.06,-14.67,28.497,475.048,71,-10.14,-4.62,-3.13,-42.59,-2.86,0,33.54,4.257641155,121.33,Medium,High,Low,High,High,0,2,2,1,0,2,1,2,2
Tiong Woon,BQM,No,0,No,0,Industrial Goods,0.48,6.54,111.473,145.186,84,-2.04,3.23,-0.83,3.39,13.29,2.16,13.85,0.336763162,37.54,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,0,5,0,1
TJ DaRenTang USD,T14,No,0,No,0,Pharmaceuticals & Medical Research,2.02,15,3771.439,1172.905,65,5.21,4.12,7.45,45.32,11.43,25.17,19.12,0.000273105,1.03,High,High,High,Low,Low,2,0,0,0,0,4,0,1,0
Top Glove,BVA,No,0,No,0,Healthcare Services,0.23,-11.46,6525.347,2050.477,0,-4.22,-14.05,0,-16.75,-32.2,0,-46.29,0.001068142,6.97,High,High,Low,Low,Low,0,0,0,0,0,5,0,0,0
Tosei,S2D,No,0,No,0,Real Estate,9.5,13.62,112216.156,79446.328,0,14.62,21,17.66,62.32,13.23,9.27,11.97,0.001538994,172.7,High,High,High,Low,High,2,0,2,0,0,3,0,2,1
Totm Tech,42F,No,0,No,0,Financial Technology (Fintech) & Infrastructure,0.022,-18.67,29.502,5.75,74,-4.35,-37.14,-55.1,-73.49,-216.17,0,-67.97,0.084740018,2.5,Medium,Low,Low,Medium,Low,0,1,0,1,2,2,2,1,1
Travelite,BCZ,No,0,No,0,Retailers,0.155,15.47,5.995,45.014,66,0,0,0,0,6.79,1.25,14.33,34.14011676,204.67,Low,Medium,Medium,High,High,1,2,2,2,1,0,2,3,2
Trek 2000 Intl,5AB,Yes,1,No,0,Technology Equipment,0.065,5.27,21.068,22.603,68,6.56,10.17,8.33,-4.41,8.84,8.74,0.88,0.037022973,0.78,Low,Low,High,Low,Low,2,0,0,2,2,2,0,3,2
Trendlines,42T,No,0,No,0,Banking & Investment Services,0.083,-40.5,79.689,6.062,100,-1.19,-9.78,-12.63,-8.79,-772.26,0,25.66,0.062743917,5,Medium,Low,Low,Low,Low,0,0,0,1,2,3,1,1,1
TrickleStar,CYW,No,0,No,0,Industrial Goods,0.2,-5.27,16.72,13.874,78,12.36,12.36,11.11,-13.04,-2.67,0,-25.54,0.217703349,3.64,Low,Low,Low,Medium,Low,0,1,0,2,2,2,1,2,1
Tritech,5G9,No,0,No,0,Industrial & Commercial Services,0.011,-143.19,12.997,28.756,83,0,-8.33,-38.89,-45,-40.11,0,16.24,6.966992383,90.55,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
Triyards,RC5,No,0,Yes,1,Energy - Fossil Fuels,0.084,-114.28,27.17,156.683,46,0,0,0,0,-139.81,0,-64.23,2.470371734,67.12,Medium,Medium,Low,High,High,0,2,2,1,1,1,2,2,2
